"table_name"
"store_summary_view_new"
"x"
"view_1"
"test_store_overviews"
"store_sales"
"store_sales_view"
"storenewtypesalesview"
"question_4"
"storetypesalesview3new"
"store_summary_view1"
"stores_overview"
"test_store_overview"
"q4"
"store_types_summary"
"store_type_summary"
"sales_summary_1"
"sale_views_mj"
"storesummary"
"q_4"
"sales_view"
"mat_summary"
"dim_customer"
"store_summary_view2"
"store_facts"
"view_2"
"country_region"
"total_sales_sales"
"store_overview"
"new_stores_overview"
"my_store_overviews"
"dim_date"
"dim_product"
"salestore1"
"total_sales"
"my_store_summary_view"
"forview"
"store_type_sales_1"
"new_store_overview"
"store_overviews"
"tiger_test"
"test_store_overviews_2"
"storenewtypesalesview1"
"store_types"
"store_sales_summary"
"a_sales"
"sales_view_1"
"store_type_view"
"mysummary"
"dim_store"
"orders"
"store_type_sales_2"
"my_store_overviewsnew"
"store_type_sales_and_percent"
"stores_overviews"
"tiger_test_2"
"storetypesalesview2"
"salestore"
"mystore_summary_view"
"store_type"
"stores_by_type"
"summary_view"
"test"
"q4_view"
"salesinfo"
"store_summary"
"my_store_overviews_2"
"store_summary_view"
"forquerying2"
"storetypesalesview"
"storetypesalesview3"
"my_store_overview"
"Sale Store"
"my_stores_overviews"
"store_type_sales_mihai"
"sales_summary"
"sales_views_1"
"test_view"
"store_type_sales"
"question_4_mj"
"sales_views"
"summary"
